Unnamed: 0,subject_hash,project,hip_flexion_median,hip_adduction_median,hip_rotation_median,knee_angle_median,ankle_angle_median,lumbar_extension_median,lumbar_bending_median,lumbar_rotation_median,neck_extension_median,neck_bending_median,neck_rotation_median,arm_flex_median,arm_add_median,elbow_flex_median,All_median,camera_name,RTE (cm),pelvis_tilt_mean,pelvis_list_mean,pelvis_rotation_mean,hip_flexion_r_mean,hip_adduction_r_mean,hip_rotation_r_mean,knee_angle_r_mean,ankle_angle_r_mean,subtalar_angle_r_mean,hip_flexion_l_mean,hip_adduction_l_mean,hip_rotation_l_mean,knee_angle_l_mean,ankle_angle_l_mean,subtalar_angle_l_mean,lumbar_extension_mean,lumbar_bending_mean,lumbar_rotation_mean
0,Zd3pKb8Zb9kSrt40,LLPU,2.624506453551851,2.372449691693724,3.5721449284626177,4.717519898208086,4.842306717159453,2.063871811950217,1.785220827266804,1.7720132651560605,6.065701904305119,3.988099396079626,7.140973515983166,2.656884953881377,2.368519203709284,4.036235263721847,3.095642022730401,21074920,7.505434395399972,2.580947,1.6066681,1.4172786,3.137923,2.6040692,4.0611253,5.9828653,5.324546,6.5756407,3.060263,2.504456,4.3560576,5.9536796,5.151997,4.5327706,2.5399034,2.1560316,1.8807093
1,Zd3pKb8Zb9kSrt40,LLPU,5.850767963007539,1.9472777222183075,2.116807470307472,6.241293448635375,5.043602133644707,2.9205349401660787,1.6050381708664632,2.115833089683231,5.597246216242697,1.901623389315278,2.025906881396662,1.6749219559756727,3.409554826274386,3.857577637015426,2.958188913935721,21074920,7.4778538923998275,1.8529757,1.6570486,1.4631506,6.3704357,2.7269497,2.3063676,7.098686,8.427443,3.8066785,5.684986,1.7501163,2.6021836,6.821825,4.5224586,4.147089,3.32371,1.9316279,2.452197
2,Zd3pKb8Zb9kSrt40,LLPU,3.1043734588411813,2.632719259688157,3.537366799542482,5.699830428464655,4.631724003948795,2.336331292994701,1.76605740263392,1.7380724580818931,5.273198734211713,3.3082904456612607,5.638465888814922,2.708227166004108,3.4469452741123114,4.513786485549402,3.284999584827097,21074920,20.2441751584933,5.794947,2.0166817,1.7617843,5.2302923,2.7570565,4.5535135,7.822176,5.968357,7.846914,4.7362366,3.0117157,4.428574,9.356253,4.607763,4.8759613,3.5089512,2.0909302,2.7759266
3,Zd3pKb8Zb9kSrt40,LLPU,6.306879266488012,1.6047141114933898,2.3758217296633384,6.882553163062564,5.693180967963539,2.9825585019795944,1.0374438483961228,1.6855818191167382,2.656057363890496,3.3220352151202714,2.0589238009455126,2.2210037164638288,3.1881120050390312,4.127592363172612,3.0584927396684414,21074920,5.798055259131288,1.6106466,1.6720349,1.3876345,6.962733,2.4667873,4.3650637,7.4292088,8.54411,4.3684072,6.302801,1.4538715,2.0537753,6.9721756,4.7224636,4.9430304,3.995323,1.6156747,1.800694
4,Zd3pKb8Zb9kSrt40,LLPU,3.739427025347779,2.5434863122984592,3.322798359339724,7.494072293766048,4.3485258007680745,3.278817786240028,2.008049944033799,2.2743090123247343,6.532306601673578,2.3791976834580693,8.009452837827217,2.4577198021208857,2.8087330183209325,4.485216319765795,3.4726002334849286,21074920,21.72510491943732,13.525691,2.0042336,1.6199996,5.677359,3.2956002,3.879667,8.998387,5.1889815,7.8218822,4.5802226,2.5949166,4.52309,10.076769,5.3217273,3.8988929,3.7283764,2.689703,3.0133064
5,Zd3pKb8Zb9kSrt40,LLPU,6.0090423867927605,2.6166125413975565,2.3407800347232453,7.347299605131686,7.136927942823112,4.987105300386041,1.6620391562354524,1.6456272117828703,3.984071374973368,3.4920973331145166,1.6111069474623383,1.9389414777196616,3.0153093104358075,3.691886621159039,3.2037879681947747,21074920,5.714699669067611,1.613473,1.8534878,1.4829345,6.808211,2.702947,3.0500746,8.446559,9.753368,3.5903034,6.7445536,2.348291,2.4649122,6.575784,5.2096167,4.463534,4.3406124,2.0891044,1.8543752
6,Zd3pKb8Zb9kSrt40,LLPU,3.418845370552974,2.27024674684354,4.740885521139217,6.1570544414333925,5.353446986944252,2.524357678752475,2.285612850821186,1.5903002246508289,5.612337080625177,4.353541599160095,6.7080797137955015,2.4000474017031035,2.403547290983768,4.348647592064398,3.423079660775989,21074920,24.42746100548646,7.8995576,1.964831,2.0846245,5.7748394,2.9869885,4.970028,7.940374,6.7306175,7.95783,4.718851,2.5992103,5.8824186,9.159046,5.9540896,4.8469553,3.6783628,2.368026,2.5256379
7,Zd3pKb8Zb9kSrt40,LLPU,5.789801222291251,2.563883758367902,2.283620218922454,4.794079312700354,6.6232628497224,3.0957908696735874,1.2063931041515097,1.8030532593050248,3.8032599546105375,3.04814563517167,2.301449246954575,1.893526782726628,3.3634945867606887,3.683656982352016,3.0178124958166763,21074920,5.272899048095439,2.0442042,1.6228498,1.7760669,6.0127053,3.074537,2.475331,6.603857,9.211033,4.23213,5.920937,2.551322,2.922602,4.8063045,4.7663436,4.810921,4.037555,1.5056635,1.924699
8,Zd3pKb8Zb9kSrt40,LLPU,2.656455477865048,1.85528546580285,4.145718988970979,4.27510341604876,4.839188625901527,2.39169803792659,1.780996942631156,1.8178481787386047,6.02059745103763,5.348168720646792,6.272643410804508,2.6335370141399435,2.405832182763484,4.99232057127402,3.1309121323818507,21074920,14.521332706705309,8.740134,1.3828995,1.4750912,3.4323783,2.3103757,4.3378596,5.289781,6.008868,6.837276,3.277211,2.262172,5.12537,5.6774225,5.3705654,4.577765,3.0752974,1.8930846,1.9061075
9,Zd3pKb8Zb9kSrt40,LLPU,5.42119926166109,1.830230433862938,3.396321345610158,6.3161943409686,4.988738834071809,3.633549361437651,2.062131927625318,1.645589800000679,6.259941097933325,3.539799922906663,4.3597017230687465,2.098008132550349,2.7849760598822253,3.3718008849381644,3.2787099499279284,21074920,4.632134271271539,2.0331109,2.2395794,4.7059937,6.475954,2.3542686,4.8911963,7.908327,8.299059,6.4221334,5.2823415,1.9010633,3.282914,6.4515247,4.5656176,4.9308753,3.544883,2.1712399,1.805986
